Partner_Name,Model_Name,Model_ID,Tier,Frequency,Period,Year,KPI,Value,Threshold,Anomaly_Flag,Uploaded_On,Model_Info,Report_Summary
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q2,2022,KS,0.471,0.5,True,2022-04-05,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time KS of 0.471 vs threshold 0.5
FinCorp,Retention_C,106,Tier 3,Quarterly,Q1,2022,PSI,0.265,0.25,True,2022-01-23,estimates customer retention likelihood,Retention_C estimates customer retention likelihood PSI of 0.265 vs threshold 0.25
FinCorp,Retention_C,106,Tier 3,Quarterly,Q4,2021,PDO,0.712,0.7,False,2021-10-12,estimates customer retention likelihood,Retention_C estimates customer retention likelihood PDO of 0.712 vs threshold 0.7
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q4,2023,AUC,0.684,0.7,True,2023-11-03,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring AUC of 0.684 vs threshold 0.7
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q3,2023,AUC,0.702,0.7,False,2023-08-31,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services AUC of 0.702 vs threshold 0.7
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q3,2021,PDO,0.736,0.7,False,2021-08-29,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring PDO of 0.736 vs threshold 0.7
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q2,2021,AUC,0.728,0.7,False,2021-04-05,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards AUC of 0.728 vs threshold 0.7
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q1,2023,AUC,0.658,0.7,True,2023-03-20,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services AUC of 0.658 vs threshold 0.7
FinCorp,Retention_C,106,Tier 3,Quarterly,Q2,2021,KS,0.461,0.5,True,2021-05-13,estimates customer retention likelihood,Retention_C estimates customer retention likelihood KS of 0.461 vs threshold 0.5
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q3,2021,PSI,0.245,0.25,False,2021-08-22,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring PSI of 0.245 vs threshold 0.25
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q1,2023,KS,0.451,0.5,True,2023-01-08,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring KS of 0.451 vs threshold 0.5
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q4,2022,KS,0.499,0.5,True,2022-10-23,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring KS of 0.499 vs threshold 0.5
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q4,2021,AUC,0.687,0.7,True,2021-11-14,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring AUC of 0.687 vs threshold 0.7
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q2,2022,KS,0.456,0.5,True,2022-05-28,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking KS of 0.456 vs threshold 0.5
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q3,2023,AUC,0.687,0.7,True,2023-07-27,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time AUC of 0.687 vs threshold 0.7
FinCorp,Retention_C,106,Tier 3,Quarterly,Q2,2021,AUC,0.711,0.7,False,2021-04-30,estimates customer retention likelihood,Retention_C estimates customer retention likelihood AUC of 0.711 vs threshold 0.7
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q2,2023,KS,0.518,0.5,False,2023-04-15,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring KS of 0.518 vs threshold 0.5
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q2,2021,KS,0.452,0.5,True,2021-05-19,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards KS of 0.452 vs threshold 0.5
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q3,2021,Gini,0.573,0.6,True,2021-08-22,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services Gini of 0.573 vs threshold 0.6
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q3,2023,PDO,0.725,0.7,False,2023-08-15,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time PDO of 0.725 vs threshold 0.7
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q3,2023,AUC,0.724,0.7,False,2023-07-12,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring AUC of 0.724 vs threshold 0.7
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q2,2021,Gini,0.575,0.6,True,2021-06-22,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time Gini of 0.575 vs threshold 0.6
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q2,2022,AUC,0.716,0.7,False,2022-04-07,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring AUC of 0.716 vs threshold 0.7
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q2,2023,PSI,0.249,0.25,False,2023-05-09,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time PSI of 0.249 vs threshold 0.25
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q4,2022,AUC,0.656,0.7,True,2022-11-06,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services AUC of 0.656 vs threshold 0.7
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q4,2023,PSI,0.232,0.25,False,2023-11-25,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services PSI of 0.232 vs threshold 0.25
FinCorp,Retention_C,106,Tier 3,Quarterly,Q4,2021,KS,0.515,0.5,False,2021-11-10,estimates customer retention likelihood,Retention_C estimates customer retention likelihood KS of 0.515 vs threshold 0.5
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q1,2022,AUC,0.656,0.7,True,2022-01-23,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards AUC of 0.656 vs threshold 0.7
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q4,2022,AUC,0.739,0.7,False,2022-10-03,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services AUC of 0.739 vs threshold 0.7
FinCorp,Retention_C,106,Tier 3,Quarterly,Q2,2023,AUC,0.687,0.7,True,2023-04-29,estimates customer retention likelihood,Retention_C estimates customer retention likelihood AUC of 0.687 vs threshold 0.7
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q3,2021,AUC,0.686,0.7,True,2021-08-21,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards AUC of 0.686 vs threshold 0.7
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q3,2022,Gini,0.618,0.6,False,2022-07-18,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring Gini of 0.618 vs threshold 0.6
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q3,2023,PSI,0.254,0.25,True,2023-08-28,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services PSI of 0.254 vs threshold 0.25
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q1,2023,Gini,0.597,0.6,True,2023-02-28,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking Gini of 0.597 vs threshold 0.6
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q1,2022,PDO,0.676,0.7,True,2022-01-08,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services PDO of 0.676 vs threshold 0.7
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q4,2021,KS,0.497,0.5,True,2021-11-27,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards KS of 0.497 vs threshold 0.5
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q1,2022,CSI,0.85,0.88,False,2022-01-05,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring CSI of 0.850 vs threshold 0.88
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q1,2021,PDO,0.66,0.7,True,2021-01-28,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards PDO of 0.660 vs threshold 0.7
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q4,2021,Gini,0.602,0.6,False,2021-12-29,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking Gini of 0.602 vs threshold 0.6
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q1,2022,CSI,0.906,0.88,True,2022-02-15,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring CSI of 0.906 vs threshold 0.88
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q2,2021,CSI,0.884,0.88,True,2021-04-30,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring CSI of 0.884 vs threshold 0.88
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q1,2022,KS,0.53,0.5,False,2022-01-01,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring KS of 0.530 vs threshold 0.5
FinCorp,Retention_C,106,Tier 3,Quarterly,Q4,2023,AUC,0.71,0.7,False,2023-10-13,estimates customer retention likelihood,Retention_C estimates customer retention likelihood AUC of 0.710 vs threshold 0.7
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q3,2021,PSI,0.253,0.25,True,2021-08-07,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards PSI of 0.253 vs threshold 0.25
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q4,2021,AUC,0.7,0.7,False,2021-11-25,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards AUC of 0.700 vs threshold 0.7
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q4,2021,KS,0.499,0.5,True,2021-12-21,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking KS of 0.499 vs threshold 0.5
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q1,2021,AUC,0.687,0.7,True,2021-01-06,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time AUC of 0.687 vs threshold 0.7
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q3,2021,Gini,0.619,0.6,False,2021-08-08,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring Gini of 0.619 vs threshold 0.6
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q1,2023,AUC,0.665,0.7,True,2023-03-14,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time AUC of 0.665 vs threshold 0.7
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q2,2023,CSI,0.835,0.88,False,2023-04-16,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time CSI of 0.835 vs threshold 0.88
FinCorp,Retention_C,106,Tier 3,Quarterly,Q3,2021,PSI,0.229,0.25,False,2021-09-06,estimates customer retention likelihood,Retention_C estimates customer retention likelihood PSI of 0.229 vs threshold 0.25
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q3,2022,KS,0.547,0.5,False,2022-07-08,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking KS of 0.547 vs threshold 0.5
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q4,2023,Gini,0.649,0.6,False,2023-10-10,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking Gini of 0.649 vs threshold 0.6
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q3,2023,CSI,0.892,0.88,True,2023-07-01,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time CSI of 0.892 vs threshold 0.88
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q2,2023,AUC,0.721,0.7,False,2023-04-28,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring AUC of 0.721 vs threshold 0.7
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q1,2022,CSI,0.915,0.88,True,2022-01-01,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking CSI of 0.915 vs threshold 0.88
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q3,2022,PDO,0.67,0.7,True,2022-09-15,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time PDO of 0.670 vs threshold 0.7
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q4,2021,PDO,0.704,0.7,False,2021-11-11,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring PDO of 0.704 vs threshold 0.7
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q2,2022,PSI,0.286,0.25,True,2022-05-22,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking PSI of 0.286 vs threshold 0.25
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q4,2023,PDO,0.719,0.7,False,2023-10-13,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time PDO of 0.719 vs threshold 0.7
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q3,2022,PSI,0.279,0.25,True,2022-08-21,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring PSI of 0.279 vs threshold 0.25
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q3,2023,CSI,0.918,0.88,True,2023-07-08,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards CSI of 0.918 vs threshold 0.88
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q3,2021,Gini,0.64,0.6,False,2021-09-30,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking Gini of 0.640 vs threshold 0.6
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q4,2022,AUC,0.653,0.7,True,2022-11-13,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time AUC of 0.653 vs threshold 0.7
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q1,2022,CSI,0.873,0.88,False,2022-01-01,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services CSI of 0.873 vs threshold 0.88
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q2,2021,Gini,0.648,0.6,False,2021-05-16,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services Gini of 0.648 vs threshold 0.6
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q1,2023,CSI,0.865,0.88,False,2023-02-28,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring CSI of 0.865 vs threshold 0.88
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q1,2022,Gini,0.624,0.6,False,2022-03-16,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking Gini of 0.624 vs threshold 0.6
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q3,2021,KS,0.531,0.5,False,2021-08-27,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards KS of 0.531 vs threshold 0.5
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q4,2023,AUC,0.675,0.7,True,2023-10-24,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking AUC of 0.675 vs threshold 0.7
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q1,2021,PSI,0.24,0.25,False,2021-01-02,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services PSI of 0.240 vs threshold 0.25
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q2,2023,PSI,0.218,0.25,False,2023-06-05,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring PSI of 0.218 vs threshold 0.25
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q3,2022,KS,0.457,0.5,True,2022-07-08,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards KS of 0.457 vs threshold 0.5
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q1,2022,PSI,0.261,0.25,True,2022-03-28,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking PSI of 0.261 vs threshold 0.25
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q3,2022,CSI,0.93,0.88,True,2022-08-01,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards CSI of 0.930 vs threshold 0.88
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q2,2022,CSI,0.863,0.88,False,2022-05-02,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking CSI of 0.863 vs threshold 0.88
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q2,2022,AUC,0.749,0.7,False,2022-05-02,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services AUC of 0.749 vs threshold 0.7
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q4,2023,PDO,0.656,0.7,True,2023-11-13,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time PDO of 0.656 vs threshold 0.7
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q4,2022,CSI,0.841,0.88,False,2022-10-04,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services CSI of 0.841 vs threshold 0.88
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q3,2022,CSI,0.91,0.88,True,2022-09-29,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards CSI of 0.910 vs threshold 0.88
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q4,2021,KS,0.502,0.5,False,2021-11-01,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards KS of 0.502 vs threshold 0.5
FinCorp,Retention_C,106,Tier 3,Quarterly,Q2,2021,PDO,0.651,0.7,True,2021-06-25,estimates customer retention likelihood,Retention_C estimates customer retention likelihood PDO of 0.651 vs threshold 0.7
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q4,2021,KS,0.549,0.5,False,2021-11-11,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services KS of 0.549 vs threshold 0.5
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q4,2021,KS,0.457,0.5,True,2021-12-13,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards KS of 0.457 vs threshold 0.5
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q3,2022,Gini,0.568,0.6,True,2022-08-21,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time Gini of 0.568 vs threshold 0.6
FinCorp,Retention_C,106,Tier 3,Quarterly,Q1,2021,CSI,0.837,0.88,False,2021-01-31,estimates customer retention likelihood,Retention_C estimates customer retention likelihood CSI of 0.837 vs threshold 0.88
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q1,2023,Gini,0.592,0.6,True,2023-01-31,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking Gini of 0.592 vs threshold 0.6
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q3,2023,CSI,0.901,0.88,True,2023-08-16,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards CSI of 0.901 vs threshold 0.88
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q4,2023,Gini,0.564,0.6,True,2023-10-15,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services Gini of 0.564 vs threshold 0.6
FinCorp,Retention_C,106,Tier 3,Quarterly,Q4,2023,CSI,0.899,0.88,True,2023-12-11,estimates customer retention likelihood,Retention_C estimates customer retention likelihood CSI of 0.899 vs threshold 0.88
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q4,2023,PDO,0.721,0.7,False,2023-10-12,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking PDO of 0.721 vs threshold 0.7
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q2,2023,AUC,0.742,0.7,False,2023-05-23,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking AUC of 0.742 vs threshold 0.7
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q3,2021,AUC,0.728,0.7,False,2021-08-22,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking AUC of 0.728 vs threshold 0.7
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q2,2021,PDO,0.737,0.7,False,2021-04-01,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time PDO of 0.737 vs threshold 0.7
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q1,2023,Gini,0.612,0.6,False,2023-03-01,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards Gini of 0.612 vs threshold 0.6
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q3,2022,PSI,0.284,0.25,True,2022-09-03,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring PSI of 0.284 vs threshold 0.25
FinCorp,Retention_C,106,Tier 3,Quarterly,Q3,2022,PSI,0.243,0.25,False,2022-09-10,estimates customer retention likelihood,Retention_C estimates customer retention likelihood PSI of 0.243 vs threshold 0.25
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q4,2021,Gini,0.557,0.6,True,2021-12-30,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time Gini of 0.557 vs threshold 0.6
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q1,2022,KS,0.472,0.5,True,2022-02-13,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking KS of 0.472 vs threshold 0.5
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q3,2021,KS,0.464,0.5,True,2021-09-04,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services KS of 0.464 vs threshold 0.5
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q1,2021,KS,0.508,0.5,False,2021-02-13,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking KS of 0.508 vs threshold 0.5
FinCorp,Retention_C,106,Tier 3,Quarterly,Q1,2021,PSI,0.232,0.25,False,2021-01-17,estimates customer retention likelihood,Retention_C estimates customer retention likelihood PSI of 0.232 vs threshold 0.25
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q2,2023,Gini,0.598,0.6,True,2023-06-18,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards Gini of 0.598 vs threshold 0.6
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q4,2023,KS,0.486,0.5,True,2023-11-20,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring KS of 0.486 vs threshold 0.5
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q2,2022,PDO,0.65,0.7,True,2022-06-04,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services PDO of 0.650 vs threshold 0.7
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q4,2021,PSI,0.257,0.25,True,2021-10-18,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time PSI of 0.257 vs threshold 0.25
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q4,2021,AUC,0.726,0.7,False,2021-10-02,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking AUC of 0.726 vs threshold 0.7
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q4,2022,CSI,0.865,0.88,False,2022-11-21,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards CSI of 0.865 vs threshold 0.88
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q3,2022,Gini,0.608,0.6,False,2022-09-24,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking Gini of 0.608 vs threshold 0.6
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q1,2023,CSI,0.852,0.88,False,2023-03-05,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring CSI of 0.852 vs threshold 0.88
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q4,2023,AUC,0.723,0.7,False,2023-12-04,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking AUC of 0.723 vs threshold 0.7
FinCorp,Retention_C,106,Tier 3,Quarterly,Q1,2023,AUC,0.668,0.7,True,2023-02-11,estimates customer retention likelihood,Retention_C estimates customer retention likelihood AUC of 0.668 vs threshold 0.7
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q2,2023,CSI,0.881,0.88,True,2023-05-26,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring CSI of 0.881 vs threshold 0.88
FinCorp,Retention_C,106,Tier 3,Quarterly,Q3,2023,Gini,0.582,0.6,True,2023-07-08,estimates customer retention likelihood,Retention_C estimates customer retention likelihood Gini of 0.582 vs threshold 0.6
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q3,2021,CSI,0.858,0.88,False,2021-09-15,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring CSI of 0.858 vs threshold 0.88
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q1,2021,PDO,0.724,0.7,False,2021-02-15,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services PDO of 0.724 vs threshold 0.7
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q3,2022,AUC,0.722,0.7,False,2022-07-20,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time AUC of 0.722 vs threshold 0.7
FinCorp,Retention_C,106,Tier 3,Quarterly,Q1,2021,CSI,0.917,0.88,True,2021-03-20,estimates customer retention likelihood,Retention_C estimates customer retention likelihood CSI of 0.917 vs threshold 0.88
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q4,2023,PSI,0.234,0.25,False,2023-12-01,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking PSI of 0.234 vs threshold 0.25
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q2,2021,PSI,0.23,0.25,False,2021-04-30,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services PSI of 0.230 vs threshold 0.25
FinCorp,Retention_C,106,Tier 3,Quarterly,Q1,2023,CSI,0.885,0.88,True,2023-01-25,estimates customer retention likelihood,Retention_C estimates customer retention likelihood CSI of 0.885 vs threshold 0.88
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q2,2021,CSI,0.862,0.88,False,2021-05-13,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services CSI of 0.862 vs threshold 0.88
FinCorp,Retention_C,106,Tier 3,Quarterly,Q2,2021,PDO,0.691,0.7,True,2021-05-29,estimates customer retention likelihood,Retention_C estimates customer retention likelihood PDO of 0.691 vs threshold 0.7
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q2,2023,KS,0.544,0.5,False,2023-05-11,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards KS of 0.544 vs threshold 0.5
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q2,2023,Gini,0.622,0.6,False,2023-04-05,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring Gini of 0.622 vs threshold 0.6
FinCorp,Retention_C,106,Tier 3,Quarterly,Q1,2023,KS,0.495,0.5,True,2023-01-01,estimates customer retention likelihood,Retention_C estimates customer retention likelihood KS of 0.495 vs threshold 0.5
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q1,2023,KS,0.459,0.5,True,2023-01-03,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking KS of 0.459 vs threshold 0.5
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q2,2021,Gini,0.585,0.6,True,2021-06-30,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring Gini of 0.585 vs threshold 0.6
